"country","city_actual","rating_count","center1label","center2label","neighbourhood","price","city","stars","ratingta","ratingta_count","scarce_room","hotel_id","offer","offer_cat","year","month","weekend","holiday","distance","distance_alter","accommodation_type","nnights","rating"
"Austria","Vienna",36,"City centre","Donauturm","17. Hernals",81,"Vienna",4,4.5,216,1,21894,1,"15-50% offer",2017,11,0,0,2.7,4.4,"Apartment",1,4.4
"Austria","Vienna",189,"City centre","Donauturm","17. Hernals",81,"Vienna",4,3.5,708,0,21897,1,"1-15% offer",2017,11,0,0,1.7,3.8,"Hotel",1,3.9
"Austria","Vienna",53,"City centre","Donauturm","Alsergrund",85,"Vienna",4,3.5,629,0,21901,1,"15-50% offer",2017,11,0,0,1.4,2.5,"Hotel",1,3.7
"Austria","Vienna",55,"City centre","Donauturm","Alsergrund",83,"Vienna",3,4,52,0,21902,1,"15-50% offer",2017,11,0,0,1.7,2.5,"Hotel",1,4
"Austria","Vienna",33,"City centre","Donauturm","Alsergrund",82,"Vienna",4,3.5,219,1,21903,1,"15-50% offer",2017,11,0,0,1.2,2.8,"Hotel",1,3.9
"Austria","Vienna",25,"City centre","Donauturm","Alsergrund",229,"Vienna",5,4.5,27,1,21904,1,"1-15% offer",2017,11,0,0,0.9,3,"Apartment",1,4.8
"Austria","Vienna",57,"City centre","Donauturm","Alsergrund",103,"Vienna",4,3.5,251,1,21906,0,"0% no offer",2017,11,0,0,0.9,2.4,"Hotel",1,3.9
"Austria","Vienna",161,"City centre","Donauturm","Alsergrund",150,"Vienna",4,4.5,617,0,21907,0,"0% no offer",2017,11,0,0,1,2.7,"Hotel",1,4.6
"Austria","Vienna",50,"City centre","Donauturm","Alsergrund",80,"Vienna",2,3.5,146,1,21908,1,"1-15% offer",2017,11,0,0,0.7,2.7,"Hotel",1,3.5
"Austria","Vienna",NA,"City centre","Donauturm","Alsergrund",153,"Vienna",3,NA,NA,1,21910,1,"15-50% offer",2017,11,0,0,1.5,2.7,"Apartment",1,NA
"Austria","Vienna",203,"City centre","Donauturm","Alsergrund",60,"Vienna",4,4,359,1,21912,1,"1-15% offer",2017,11,0,0,1.1,2.7,"Hotel",1,4.1
"Austria","Vienna",251,"City centre","Donauturm","Alsergrund",128,"Vienna",4,4,829,0,21913,0,"0% no offer",2017,11,0,0,0.8,2.9,"Hotel",1,4
"Austria","Vienna",142,"City centre","Donauturm","Alsergrund",100,"Vienna",4,4,55,1,21914,1,"15-50% offer",2017,11,0,0,1,2.3,"Apartment",1,4.5
"Austria","Vienna",8,"City centre","Donauturm","Alsergrund",143,"Vienna",2,NA,NA,1,21915,1,"15-50% offer",2017,11,0,0,1.2,2.3,"Apartment",1,3.7
"Austria","Vienna",NA,"City centre","Donauturm","Alsergrund",106,"Vienna",2.5,2,74,1,21916,0,"0% no offer",2017,11,0,0,0.7,2.6,"Hotel",1,NA
"Austria","Vienna",18,"City centre","Donauturm","Alsergrund",85,"Vienna",4,4,62,0,21917,1,"1-15% offer",2017,11,0,0,1.7,2.6,"Hotel",1,4.1
"Austria","Vienna",20,"City centre","Donauturm","Alsergrund",77,"Vienna",3,3.5,97,0,21918,1,"15-50% offer",2017,11,0,0,0.9,2.8,"Hotel",1,3.7
"Austria","Vienna",77,"City centre","Donauturm","Alsergrund",78,"Vienna",3,3.5,120,1,21919,1,"15-50% offer",2017,11,0,0,0.8,2.8,"Hotel",1,3.9
"Austria","Vienna",76,"City centre","Donauturm","Alsergrund",78,"Vienna",3,3.5,161,1,21920,0,"0% no offer",2017,11,0,0,0.9,2.8,"Hotel",1,4
"Austria","Vienna",NA,"City centre","Donauturm","Donaustadt",260,"Vienna",3.5,5,2,1,21921,0,"0% no offer",2017,11,0,0,3.4,0.6,"Apartment",1,NA
"Austria","Vienna",5,"City centre","Donauturm","Donaustadt",158,"Vienna",3,4.5,72,1,21922,0,"0% no offer",2017,11,0,0,3.4,0.6,"Apartment",1,4.8
"Austria","Vienna",77,"City centre","Donauturm","Donaustadt",77,"Vienna",3,4,158,1,21924,0,"0% no offer",2017,11,0,0,4.2,1.5,"Hotel",1,3.9
"Austria","Vienna",193,"City centre","Donauturm","Donaustadt",77,"Vienna",3,3,91,0,21925,1,"50%-75% offer",2017,11,0,0,3.9,1.9,"Hotel",1,2.7
"Austria","Vienna",94,"City centre","Donauturm","Donaustadt",95,"Vienna",4,4,228,0,21926,1,"15-50% offer",2017,11,0,0,3.6,1.2,"Hotel",1,4.3
"Austria","Vienna",1,"City centre","Donauturm","Donaustadt",156,"Vienna",3,NA,NA,1,21927,0,"0% no offer",2017,11,0,0,3.8,1.2,"Apartment",1,3
"Austria","Vienna",5,"City centre","Donauturm","Donaustadt",145,"Vienna",3,4.5,205,1,21928,0,"0% no offer",2017,11,0,0,3.5,0.8,"Bed and breakfast",1,3.5
"Austria","Vienna",178,"City centre","Donauturm","Donaustadt",208,"Vienna",4,4,1085,1,21930,0,"0% no offer",2017,11,0,0,2.9,0.6,"Hotel",1,4.1
"Austria","Vienna",330,"City centre","Donauturm","Donaustadt",87,"Vienna",3,3.5,423,1,21933,0,"0% no offer",2017,11,0,0,3.4,0.9,"Hotel",1,3.7
"Austria","Vienna",6,"City centre","Donauturm","Favoriten",131,"Vienna",2,NA,NA,1,21934,1,"15-50% offer",2017,11,0,0,2.3,4.9,"Apartment",1,3.5
"Austria","Vienna",194,"City centre","Donauturm","Favoriten",54,"Vienna",3,4,522,0,21935,1,"50%-75% offer",2017,11,0,0,2,4.5,"Hotel",1,3.5
"Austria","Vienna",9,"City centre","Donauturm","Favoriten",139,"Vienna",2,3,17,1,21936,1,"15-50% offer",2017,11,0,0,2.4,5,"Apartment",1,3
"Austria","Vienna",3,"City centre","Donauturm","Favoriten",184,"Vienna",2,NA,NA,1,21937,1,"15-50% offer",2017,11,0,0,2.8,5.3,"Apartment",1,3.2
"Austria","Vienna",1,"City centre","Donauturm","Favoriten",127,"Vienna",3,NA,NA,1,21938,1,"15-50% offer",2017,11,0,0,2.9,5.2,"Apartment",1,1
"Austria","Vienna",NA,"City centre","Donauturm","Favoriten",95,"Vienna",3,NA,NA,1,21939,0,"0% no offer",2017,11,0,0,2.5,5.1,"Apartment",1,NA
"Austria","Vienna",441,"City centre","Donauturm","Favoriten",99,"Vienna",3.5,4.5,630,0,21940,0,"0% no offer",2017,11,0,0,1.7,4.2,"Hotel",1,4.4
"Austria","Vienna",1122,"City centre","Donauturm","Favoriten",75,"Vienna",3.5,4.5,573,0,21941,1,"15-50% offer",2017,11,0,0,1.7,4.1,"Hotel",1,4.4
"Austria","Vienna",362,"City centre","Donauturm","Favoriten",76,"Vienna",3,4,269,0,21943,1,"15-50% offer",2017,11,0,0,2.1,4.6,"Hotel",1,4.4
"Austria","Vienna",2,"City centre","Donauturm","Favoriten",130,"Vienna",2,NA,NA,1,21945,1,"15-50% offer",2017,11,0,0,2.5,5.1,"Apartment",1,3
"Austria","Vienna",525,"City centre","Donauturm","Favoriten",91,"Vienna",4,4.5,741,0,21946,0,"0% no offer",2017,11,0,0,1.9,4.2,"Hotel",1,4.5
"Austria","Vienna",1,"City centre","Donauturm","Favoriten",135,"Vienna",2,NA,NA,1,21947,1,"15-50% offer",2017,11,0,0,2.4,5,"Apartment",1,3
"Austria","Vienna",113,"City centre","Donauturm","Favoriten",56,"Vienna",2,3,183,1,21948,0,"0% no offer",2017,11,0,0,2,4.5,"Hotel",1,2
"Austria","Vienna",71,"City centre","Donauturm","Favoriten",27,"Vienna",2,3.5,216,1,21949,0,"0% no offer",2017,11,0,0,2.7,5.1,"Hostel",1,3.7
"Austria","Vienna",1,"City centre","Donauturm","Favoriten",88,"Vienna",3,NA,NA,1,21950,1,"1-15% offer",2017,11,0,0,2.3,4.6,"Apartment",1,3
"Austria","Vienna",22,"City centre","Donauturm","Favoriten",133,"Vienna",2,NA,NA,1,21951,1,"15-50% offer",2017,11,0,0,2.5,4.8,"Apartment",1,3.5
"Austria","Vienna",366,"City centre","Donauturm","Favoriten",33,"Vienna",2,3.5,491,0,21956,0,"0% no offer",2017,11,0,0,1.8,4.3,"Hotel",1,3.4
"Austria","Vienna",NA,"City centre","Donauturm","Favoriten",116,"Vienna",3.5,NA,NA,0,21958,0,"0% no offer",2017,11,0,0,2,4.4,"Apartment",1,NA
"Austria","Vienna",821,"City centre","Donauturm","Favoriten",71,"Vienna",4,4,31,0,21959,1,"1-15% offer",2017,11,0,0,1.7,4.2,"Hotel",1,4
"Austria","Vienna",16,"City centre","Donauturm","Favoriten",90,"Vienna",3.5,NA,NA,1,21960,1,"1-15% offer",2017,11,0,0,2.7,5.3,"Apartment",1,3.5
"Austria","Vienna",23,"City centre","Donauturm","Favoriten",84,"Vienna",4,NA,NA,1,21962,1,"15-50% offer",2017,11,0,0,1.9,4.3,"Apartment",1,4.1
"Austria","Vienna",38,"City centre","Donauturm","Favoriten",63,"Vienna",3,NA,NA,0,21963,1,"15-50% offer",2017,11,0,0,2.3,4.7,"Guest House",1,4.3
"Austria","Fischamend",366,"City centre","Donauturm","Fischamend",59,"Vienna",3,2.5,243,0,21964,1,"15-50% offer",2017,11,0,0,13,13,"Hotel",1,3
"Austria","Vienna",77,"City centre","Donauturm","Graben",113,"Vienna",3,4,259,0,21965,1,"15-50% offer",2017,11,0,0,0.2,2.9,"Hotel",1,4.4
"Austria","Vienna",27,"City centre","Donauturm","Graben",218,"Vienna",4.5,NA,NA,1,21966,1,"1-15% offer",2017,11,0,0,0.1,2.9,"Apartment",1,4.1
"Austria","Vienna",144,"City centre","Donauturm","Graben",299,"Vienna",5,4.5,702,1,21967,1,"50%-75% offer",2017,11,0,0,0.1,2.8,"Hotel",1,4.5
"Austria","Vienna",184,"City centre","Donauturm","Innere Stadt",156,"Vienna",3,4.5,1347,1,21968,1,"1-15% offer",2017,11,0,0,0.3,2.6,"Hotel",1,4.5
"Austria","Vienna",78,"City centre","Donauturm","Innere Stadt",513,"Vienna",5,5,1126,1,21969,1,"15-50% offer",2017,11,0,0,0.3,2.8,"Hotel",1,4.8
"Austria","Vienna",319,"City centre","Donauturm","Innere Stadt",133,"Vienna",4,4,466,1,21970,1,"15-50% offer",2017,11,0,0,0.3,2.6,"Hotel",1,4.3
"Austria","Vienna",73,"City centre","Donauturm","Innere Stadt",123,"Vienna",4,3.5,47,1,21971,1,"15-50% offer",2017,11,0,0,0.5,3.1,"Hotel",1,4.1
"Austria","Vienna",81,"City centre","Donauturm","Innere Stadt",219,"Vienna",4,4.5,392,1,21972,1,"1-15% offer",2017,11,0,0,0.3,3,"Hotel",1,4.5
"Austria","Vienna",271,"City centre","Donauturm","Innere Stadt",152,"Vienna",4,4,261,0,21973,1,"15-50% offer",2017,11,0,0,0.3,3,"Hotel",1,4.3
"Austria","Vienna",211,"City centre","Donauturm","Innere Stadt",115,"Vienna",4,4.5,211,1,21975,1,"15-50% offer",2017,11,0,0,0.1,2.7,"Hotel",1,4.3
"Austria","Vienna",5,"City centre","Donauturm","Innere Stadt",806,"Vienna",5,4.5,114,0,21976,1,"15-50% offer",2017,11,0,0,0.3,2.8,"Hotel",1,4.5
"Austria","Vienna",316,"City centre","Donauturm","Innere Stadt",138,"Vienna",4,4.5,463,0,21977,1,"15-50% offer",2017,11,0,0,0.2,2.6,"Hotel",1,4.5
"Austria","Vienna",28,"City centre","Donauturm","Innere Stadt",95,"Vienna",3,NA,NA,1,21979,0,"0% no offer",2017,11,0,0,0.4,2.5,"Apartment",1,3.7
"Austria","Vienna",336,"City centre","Donauturm","Innere Stadt",146,"Vienna",4,4,714,0,21980,0,"0% no offer",2017,11,0,0,0.1,2.9,"Hotel",1,4.4
"Austria","Vienna",83,"City centre","Donauturm","Innere Stadt",103,"Vienna",3,4,159,0,21981,0,"0% no offer",2017,11,0,0,0.7,3.1,"Pension",1,4
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",125,"Vienna",3.5,NA,NA,1,21983,0,"0% no offer",2017,11,0,0,0.5,3.3,"Apartment",1,NA
"Austria","Vienna",88,"City centre","Donauturm","Innere Stadt",98,"Vienna",3,3.5,66,1,21984,0,"0% no offer",2017,11,0,0,0.5,2.6,"Hotel",1,3.7
"Austria","Vienna",140,"City centre","Donauturm","Innere Stadt",121,"Vienna",3.5,4.5,557,1,21985,1,"15-50% offer",2017,11,0,0,0.3,2.5,"Hotel",1,4.5
"Austria","Vienna",391,"City centre","Donauturm","Innere Stadt",149,"Vienna",4,4,1516,0,21986,1,"1-15% offer",2017,11,0,0,0.2,2.6,"Hotel",1,4
"Austria","Vienna",320,"City centre","Donauturm","Innere Stadt",120,"Vienna",3,3.5,515,0,21987,1,"1-15% offer",2017,11,0,0,0.3,2.5,"Hotel",1,3.9
"Austria","Vienna",21,"City centre","Donauturm","Innere Stadt",157,"Vienna",3,4.5,146,1,21988,1,"1-15% offer",2017,11,0,0,0.4,2.9,"Hotel",1,4.4
"Austria","Vienna",193,"City centre","Donauturm","Innere Stadt",261,"Vienna",5,5,945,1,21989,1,"15-50% offer",2017,11,0,0,0.3,3.1,"Hotel",1,4.8
"Austria","Vienna",75,"City centre","Donauturm","Innere Stadt",145,"Vienna",3.5,4,48,1,21990,1,"15-50% offer",2017,11,0,0,0.7,3.4,"Apartment",1,4.1
"Austria","Vienna",35,"City centre","Donauturm","Innere Stadt",275,"Vienna",4,4,16,1,21991,1,"15-50% offer",2017,11,0,0,0.2,2.6,"Apartment",1,4.3
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",253,"Vienna",3.5,NA,NA,1,21992,0,"0% no offer",2017,11,0,0,0.2,2.9,"Apartment",1,NA
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",209,"Vienna",4,NA,NA,1,21993,0,"0% no offer",2017,11,0,0,0.2,2.9,"Apartment",1,NA
"Austria","Vienna",505,"City centre","Donauturm","Innere Stadt",112,"Vienna",4,4,607,0,21995,1,"15-50% offer",2017,11,0,0,0.2,2.9,"Hotel",1,4
"Austria","Vienna",386,"City centre","Donauturm","Innere Stadt",138,"Vienna",4,4,273,0,21996,1,"15-50% offer",2017,11,0,0,0.3,2.5,"Hotel",1,4.3
"Austria","Vienna",109,"City centre","Donauturm","Innere Stadt",84,"Vienna",3,4,171,1,21997,1,"1-15% offer",2017,11,0,0,0.4,2.6,"Pension",1,4
"Austria","Vienna",626,"City centre","Donauturm","Innere Stadt",199,"Vienna",4.5,4.5,3171,0,21998,1,"50%-75% offer",2017,11,0,0,0.3,2.9,"Hotel",1,4.5
"Austria","Vienna",334,"City centre","Donauturm","Innere Stadt",203,"Vienna",5,4.5,917,0,21999,1,"15-50% offer",2017,11,0,0,0.3,2.9,"Hotel",1,4.4
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",116,"Vienna",3,3,4,1,22001,0,"0% no offer",2017,11,0,0,0.2,2.7,"Vacation home Condo",1,NA
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",107,"Vienna",3.5,NA,NA,1,22002,0,"0% no offer",2017,11,0,0,0.2,2.7,"Apartment",1,NA
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",127,"Vienna",3.5,NA,NA,1,22003,0,"0% no offer",2017,11,0,0,0.2,2.7,"Apartment",1,NA
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",104,"Vienna",3.5,NA,NA,1,22004,0,"0% no offer",2017,11,0,0,0.2,2.7,"Apartment",1,NA
"Austria","Vienna",11,"City centre","Donauturm","Innere Stadt",168,"Vienna",3.5,3.5,4,1,22005,1,"15-50% offer",2017,11,0,0,0.2,2.6,"Apartment",1,4
"Austria","Vienna",150,"City centre","Donauturm","Innere Stadt",544,"Vienna",5,4.5,1178,0,22006,0,"0% no offer",2017,11,0,0,0.5,3.2,"Hotel",1,4.8
"Austria","Vienna",531,"City centre","Donauturm","Innere Stadt",252,"Vienna",5,4.5,1050,0,22007,1,"1-15% offer",2017,11,0,0,0.5,3.2,"Hotel",1,4.6
"Austria","Vienna",253,"City centre","Donauturm","Innere Stadt",323,"Vienna",5,4.5,1168,0,22008,1,"15-50% offer",2017,11,0,0,0.5,3.2,"Hotel",1,4.5
"Austria","Vienna",47,"City centre","Donauturm","Innere Stadt",158,"Vienna",3,4,232,1,22009,0,"0% no offer",2017,11,0,0,0.3,3.1,"Hotel",1,4.3
"Austria","Vienna",19,"City centre","Donauturm","Innere Stadt",156,"Vienna",3.5,NA,NA,1,22010,1,"15-50% offer",2017,11,0,0,0.2,2.7,"Apartment",1,4
"Austria","Vienna",124,"City centre","Donauturm","Innere Stadt",218,"Vienna",4,5,1112,1,22011,1,"50%-75% offer",2017,11,0,0,0.2,2.6,"Hotel",1,4.6
"Austria","Vienna",115,"City centre","Donauturm","Innere Stadt",218,"Vienna",4,4.5,475,0,22012,1,"15-50% offer",2017,11,0,0,0.1,2.7,"Hotel",1,4.5
"Austria","Vienna",110,"City centre","Donauturm","Innere Stadt",135,"Vienna",3,3.5,162,0,22013,1,"15-50% offer",2017,11,0,0,0.3,2.6,"Hotel",1,3.9
"Austria","Vienna",16,"City centre","Donauturm","Innere Stadt",219,"Vienna",2,NA,NA,1,22014,1,"15-50% offer",2017,11,0,0,0.6,2.6,"Apartment",1,4
"Austria","Vienna",467,"City centre","Donauturm","Innere Stadt",179,"Vienna",4,4.5,423,1,22016,0,"0% no offer",2017,11,0,0,0.5,3.3,"Hotel",1,4.4
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",511,"Vienna",3.5,NA,NA,1,22017,1,"1-15% offer",2017,11,0,0,0.5,3.3,"Apartment",1,NA
"Austria","Vienna",650,"City centre","Donauturm","Innere Stadt",157,"Vienna",4,4.5,1380,0,22018,1,"1-15% offer",2017,11,0,0,0.7,3.5,"Hotel",1,4.5
"Austria","Vienna",95,"City centre","Donauturm","Innere Stadt",146,"Vienna",4,4.5,770,1,22019,0,"0% no offer",2017,11,0,0,0.3,2.8,"Hotel",1,4.5
"Austria","Vienna",564,"City centre","Donauturm","Innere Stadt",200,"Vienna",5,4,1850,0,22020,1,"15-50% offer",2017,11,0,0,0.4,2.9,"Hotel",1,4.3
"Austria","Vienna",168,"City centre","Donauturm","Innere Stadt",157,"Vienna",4,4,392,1,22021,0,"0% no offer",2017,11,0,0,0.1,2.8,"Hotel",1,4.1
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",138,"Vienna",4,NA,NA,1,22022,0,"0% no offer",2017,11,0,0,0.3,2.6,"Apartment",1,NA
"Austria","Vienna",175,"City centre","Donauturm","Innere Stadt",108,"Vienna",3,3.5,234,1,22023,1,"15-50% offer",2017,11,0,0,0.3,2.5,"Hotel",1,3.5
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",290,"Vienna",3.5,NA,NA,1,22025,0,"0% no offer",2017,11,0,0,0.2,2.6,"Apartment",1,NA
"Austria","Vienna",426,"City centre","Donauturm","Innere Stadt",127,"Vienna",4,4,840,0,22026,1,"15-50% offer",2017,11,0,0,0.8,3.1,"Hotel",1,4
"Austria","Vienna",1,"City centre","Donauturm","Innere Stadt",114,"Vienna",3,NA,NA,1,22027,0,"0% no offer",2017,11,0,0,0.7,3,"Guest House",1,3
"Austria","Vienna",148,"City centre","Donauturm","Innere Stadt",163,"Vienna",4,4,388,1,22028,0,"0% no offer",2017,11,0,0,0.4,2.7,"Hotel",1,4.1
"Austria","Vienna",163,"City centre","Donauturm","Innere Stadt",116,"Vienna",4,4.5,212,1,22029,1,"15-50% offer",2017,11,0,0,0.2,2.8,"Apart-hotel",1,4.5
"Austria","Vienna",493,"City centre","Donauturm","Innere Stadt",226,"Vienna",5,4.5,2985,0,22030,1,"15-50% offer",2017,11,0,0,0.5,3.3,"Hotel",1,4.3
"Austria","Vienna",56,"City centre","Donauturm","Innere Stadt",231,"Vienna",4,4.5,282,0,22031,1,"15-50% offer",2017,11,0,0,0.1,2.7,"Hotel",1,4.4
"Austria","Vienna",247,"City centre","Donauturm","Innere Stadt",116,"Vienna",4,4.5,1274,1,22032,1,"15-50% offer",2017,11,0,0,0.4,2.6,"Hotel",1,4.4
"Austria","Vienna",169,"City centre","Donauturm","Innere Stadt",76,"Vienna",3,4,167,1,22033,1,"15-50% offer",2017,11,0,0,0.4,2.6,"Guest House",1,3.7
"Austria","Vienna",1,"City centre","Donauturm","Innere Stadt",135,"Vienna",3.5,NA,NA,1,22034,0,"0% no offer",2017,11,0,0,0.3,2.6,"Apartment",1,1
"Austria","Vienna",599,"City centre","Donauturm","Innere Stadt",184,"Vienna",5,4.5,1330,0,22035,1,"15-50% offer",2017,11,0,0,0.6,2.7,"Hotel",1,4.5
"Austria","Vienna",258,"City centre","Donauturm","Innere Stadt",384,"Vienna",5,5,1207,0,22036,1,"15-50% offer",2017,11,0,0,0.6,2.5,"Hotel",1,4.8
"Austria","Vienna",703,"City centre","Donauturm","Innere Stadt",166,"Vienna",4,4,1592,1,22037,1,"15-50% offer",2017,11,0,0,0.6,2.8,"Hotel",1,4.3
"Austria","Vienna",230,"City centre","Donauturm","Innere Stadt",187,"Vienna",5,4,468,0,22038,1,"15-50% offer",2017,11,0,0,0.5,3.1,"Hotel",1,4.1
"Austria","Vienna",112,"City centre","Donauturm","Innere Stadt",371,"Vienna",5,4.5,1319,0,22039,1,"1-15% offer",2017,11,0,0,0.5,3.1,"Hotel",1,4.6
"Austria","Vienna",278,"City centre","Donauturm","Innere Stadt",156,"Vienna",4,4.5,272,1,22040,0,"0% no offer",2017,11,0,0,0.1,2.7,"Pension",1,4.4
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",220,"Vienna",3.5,NA,NA,1,22041,0,"0% no offer",2017,11,0,0,0.3,2.5,"Apartment",1,NA
"Austria","Vienna",81,"City centre","Donauturm","Innere Stadt",169,"Vienna",4,4.5,561,1,22042,0,"0% no offer",2017,11,0,0,0.3,2.5,"Hotel",1,4.5
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",103,"Vienna",3,NA,NA,1,22043,0,"0% no offer",2017,11,0,0,0.3,2.7,"Apartment",1,NA
"Austria","Vienna",15,"City centre","Donauturm","Innere Stadt",266,"Vienna",5,NA,NA,1,22044,0,"0% no offer",2017,11,0,0,0.3,2.6,"Apartment",1,4.5
"Austria","Vienna",203,"City centre","Donauturm","Innere Stadt",131,"Vienna",3,4,338,1,22045,1,"15-50% offer",2017,11,0,0,0.1,2.9,"Pension",1,3.9
"Austria","Vienna",150,"City centre","Donauturm","Innere Stadt",168,"Vienna",4,4.5,154,1,22046,0,"0% no offer",2017,11,0,0,0.2,2.8,"Apartment",1,4.6
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",101,"Vienna",3,NA,NA,1,22047,0,"0% no offer",2017,11,0,0,0.2,2.6,"Apartment",1,NA
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",364,"Vienna",3.5,NA,NA,1,22049,0,"0% no offer",2017,11,0,0,0.2,3,"Apartment",1,NA
"Austria","Vienna",404,"City centre","Donauturm","Innere Stadt",242,"Vienna",4,4.5,2165,0,22050,1,"1-15% offer",2017,11,0,0,0,2.8,"Hotel",1,4.8
"Austria","Vienna",123,"City centre","Donauturm","Innere Stadt",223,"Vienna",4,3.5,276,1,22051,0,"0% no offer",2017,11,0,0,0.5,2.4,"Hotel",1,3.5
"Austria","Vienna",653,"City centre","Donauturm","Innere Stadt",149,"Vienna",4,4.5,930,1,22052,1,"15-50% offer",2017,11,0,0,0.3,2.7,"Hotel",1,4.4
"Austria","Vienna",NA,"City centre","Donauturm","Innere Stadt",232,"Vienna",3.5,NA,NA,1,22053,0,"0% no offer",2017,11,0,0,0.2,2.7,"Apartment",1,NA
"Austria","Vienna",388,"City centre","Donauturm","Innere Stadt",114,"Vienna",4,4,836,0,22054,1,"15-50% offer",2017,11,0,0,0.5,2.3,"Hotel",1,4
"Austria","Vienna",1,"City centre","Donauturm","Innere Stadt",253,"Vienna",3.5,NA,NA,1,22055,0,"0% no offer",2017,11,0,0,0.1,2.8,"Apartment",1,2
"Austria","Vienna",230,"City centre","Donauturm","Innere Stadt",163,"Vienna",4,4.5,203,1,22057,1,"15-50% offer",2017,11,0,0,0.3,2.6,"Apart-hotel",1,4.4
"Austria","Vienna",69,"City centre","Donauturm","Innere Stadt",116,"Vienna",3,4.5,774,1,22059,1,"15-50% offer",2017,11,0,0,0.4,3.1,"Pension",1,4.1
"Austria","Vienna",34,"City centre","Donauturm","Innere Stadt",139,"Vienna",4,3.5,54,1,22061,1,"1-15% offer",2017,11,0,0,0.2,2.9,"Hotel",1,3.5
"Austria","Vienna",6,"City centre","Donauturm","Innere Stadt",91,"Vienna",3.5,NA,NA,1,22063,0,"0% no offer",2017,11,0,0,0.2,2.7,"Apartment",1,3.2
"Austria","Vienna",102,"City centre","Donauturm","Josefstadt",79,"Vienna",3,3.5,127,1,22064,1,"1-15% offer",2017,11,0,0,1.4,3.6,"Hotel",1,3.5
"Austria","Vienna",65,"City centre","Donauturm","Josefstadt",66,"Vienna",4,3.5,85,1,22065,1,"15-50% offer",2017,11,0,0,1.1,3.2,"Pension",1,3.7
